Subscription.Type,Monthly.Revenue,Days.Joined,Last.Payment.Date,Country,Age,Gender,Device,Plan.Duration
Standard,12,494,26-06-23,Australia,29,Male,Smartphone,1 Month
Basic,10,848,28-06-23,Germany,39,Female,Smart TV,1 Month
Premium,15,227,27-06-23,France,35,Male,Tablet,1 Month
Basic,10,542,25-06-23,Brazil,45,Female,Laptop,1 Month
Standard,12,653,24-06-23,Mexico,32,Male,Smartphone,1 Month
Premium,15,299,23-06-23,Spain,27,Female,Smart TV,1 Month
Basic,10,1540,22-06-23,Italy,48,Male,Tablet,1 Month
Premium,15,88,22-06-23,United States,31,Female,Laptop,1 Month
Basic,10,2090,28-06-23,Canada,40,Male,Smartphone,1 Month
Standard,12,2133,27-06-23,United Kingdom,36,Female,Smart TV,1 Month
Standard,12,181,26-06-23,Australia,29,Male,Tablet,1 Month
Basic,10,1449,28-06-23,Germany,43,Female,Laptop,1 Month
Premium,15,497,27-06-23,France,34,Male,Smartphone,1 Month
Basic,10,2183,25-06-23,Brazil,39,Female,Smart TV,1 Month
Standard,12,1843,24-06-23,Mexico,32,Male,Tablet,1 Month
Premium,15,1299,23-06-23,Spain,28,Female,Laptop,1 Month
Basic,10,1106,22-06-23,Italy,45,Male,Smartphone,1 Month
Premium,15,663,22-06-23,United States,30,Female,Smart TV,1 Month
Basic,10,752,28-06-23,Canada,37,Male,Tablet,1 Month
Standard,12,1173,27-06-23,United Kingdom,41,Female,Laptop,1 Month
Standard,12,1719,26-06-23,Australia,29,Male,Smartphone,1 Month
Basic,10,983,28-06-23,Germany,39,Female,Smart TV,1 Month
Premium,15,2079,27-06-23,France,36,Male,Tablet,1 Month
Basic,10,1770,25-06-23,Brazil,46,Female,Laptop,1 Month
Standard,12,1339,24-06-23,Mexico,34,Male,Smartphone,1 Month
Premium,15,1214,23-06-23,Spain,27,Female,Smart TV,1 Month
Basic,10,752,22-06-23,Italy,42,Male,Tablet,1 Month
Premium,15,227,22-06-23,United States,28,Female,Laptop,1 Month
Basic,10,2189,28-06-23,Canada,37,Male,Smartphone,1 Month
Standard,12,1234,27-06-23,United Kingdom,41,Female,Smart TV,1 Month
Standard,12,1668,26-06-23,Australia,29,Male,Tablet,1 Month
Basic,10,499,28-06-23,Germany,40,Female,Laptop,1 Month
Premium,15,621,27-06-23,France,29,Male,Smartphone,1 Month
Basic,10,1061,25-06-23,Brazil,47,Female,Smart TV,1 Month
Standard,12,1640,24-06-23,Mexico,33,Male,Tablet,1 Month
Premium,15,883,23-06-23,Spain,36,Female,Laptop,1 Month
Basic,10,400,22-06-23,Italy,41,Male,Smartphone,1 Month
Basic,10,1127,20-06-23,United States,27,Male,Smartphone,1 Month
Basic,10,1414,22-06-23,Canada,31,Female,Smartphone,1 Month
Standard,12,644,26-06-23,United Kingdom,28,Female,Laptop,1 Month
Premium,13,1983,25-06-23,Australia,41,Female,Smartphone,1 Month
Basic,13,106,26-06-23,Germany,28,Female,Laptop,1 Month
Basic,13,166,26-06-23,France,51,Female,Laptop,1 Month
Premium,15,699,23-06-23,Brazil,45,Female,Smartphone,1 Month
Standard,15,1053,28-06-23,Mexico,49,Male,Tablet,1 Month
Standard,15,1623,25-06-23,Spain,43,Female,Laptop,1 Month
Basic,12,2009,22-06-23,Italy,43,Male,Tablet,1 Month
Premium,10,1106,24-06-23,United States,37,Male,Tablet,1 Month
Standard,12,1322,28-06-23,Canada,35,Male,Laptop,1 Month
Basic,10,748,26-06-23,United Kingdom,46,Female,Smartphone,1 Month
Standard,12,1912,25-06-23,Australia,32,Male,Smartphone,1 Month
Premium,10,584,27-06-23,Germany,37,Female,Laptop,1 Month
Basic,11,356,25-06-23,France,29,Female,Smartphone,1 Month
Premium,15,1749,23-06-23,Brazil,45,Male,Smart TV,1 Month
Standard,12,1912,28-06-23,Mexico,47,Male,Tablet,1 Month
Basic,15,1811,26-06-23,Spain,39,Male,Smartphone,1 Month
Standard,13,388,23-06-23,Italy,49,Female,Smartphone,1 Month
Premium,11,599,23-06-23,United States,39,Male,Tablet,1 Month
Basic,14,961,28-06-23,Canada,39,Male,Smart TV,1 Month
Standard,12,615,26-06-23,United Kingdom,35,Male,Smartphone,1 Month
Premium,12,532,25-06-23,Australia,44,Male,Smartphone,1 Month
Basic,11,665,25-06-23,Germany,34,Male,Laptop,1 Month
Premium,14,1773,24-06-23,France,32,Male,Laptop,1 Month
Basic,10,1211,24-06-23,Brazil,29,Female,Tablet,1 Month
Standard,13,632,28-06-23,Mexico,31,Female,Tablet,1 Month
Standard,12,1789,24-06-23,Spain,29,Female,Tablet,1 Month
Basic,12,451,25-06-23,Italy,35,Male,Laptop,1 Month
Premium,11,306,24-06-23,United States,46,Female,Tablet,1 Month
Basic,12,710,28-06-23,Canada,31,Male,Tablet,1 Month
Standard,13,1388,26-06-23,United Kingdom,36,Male,Laptop,1 Month
Premium,10,724,25-06-23,Australia,38,Male,Laptop,1 Month
Basic,11,1413,27-06-23,Germany,46,Female,Laptop,1 Month
Premium,10,1359,24-06-23,France,49,Female,Tablet,1 Month
Basic,14,862,24-06-23,Brazil,29,Female,Smart TV,1 Month
Standard,12,1093,25-06-23,Mexico,27,Female,Smart TV,1 Month
Standard,13,1910,25-06-23,Spain,35,Female,Tablet,1 Month
Basic,13,1749,24-06-23,Italy,37,Female,Laptop,1 Month
Premium,14,1722,27-06-23,United States,40,Male,Tablet,1 Month
Basic,10,968,28-06-23,Canada,33,Female,Laptop,1 Month
Standard,15,1791,26-06-23,United Kingdom,37,Male,Tablet,1 Month
Premium,10,1705,25-06-23,Australia,48,Male,Smartphone,1 Month
Basic,11,1437,25-06-23,Germany,50,Female,Laptop,1 Month
Premium,14,1895,23-06-23,France,45,Female,Smart TV,1 Month
Basic,15,819,23-06-23,Brazil,40,Female,Tablet,1 Month
Standard,12,365,27-06-23,Mexico,33,Male,Smartphone,1 Month
Standard,11,557,25-06-23,Spain,44,Female,Smartphone,1 Month
Basic,10,138,25-06-23,Italy,30,Female,Smart TV,1 Month
Premium,15,1022,24-06-23,United States,27,Male,Smart TV,1 Month
Basic,11,1426,28-06-23,Canada,51,Male,Smart TV,1 Month
Standard,13,414,26-06-23,United Kingdom,49,Female,Smartphone,1 Month
Premium,15,1550,25-06-23,Australia,43,Male,Laptop,1 Month
Basic,12,770,24-06-23,Germany,42,Male,Smartphone,1 Month
Premium,13,1126,23-06-23,France,45,Male,Laptop,1 Month
Basic,10,293,23-06-23,Brazil,36,Male,Smartphone,1 Month
Standard,12,130,27-06-23,Mexico,48,Male,Smartphone,1 Month
Standard,13,1532,23-06-23,Spain,38,Male,Smart TV,1 Month
Basic,14,1179,23-06-23,Italy,43,Female,Tablet,1 Month
Premium,15,1422,23-06-23,United States,47,Male,Laptop,1 Month
Basic,15,1233,28-06-23,Canada,48,Female,Smart TV,1 Month
Standard,13,1051,26-06-23,United Kingdom,47,Male,Smart TV,1 Month
Premium,15,1280,25-06-23,Australia,32,Male,Tablet,1 Month
Basic,13,341,26-06-23,Germany,47,Female,Smart TV,1 Month
Premium,12,809,26-06-23,France,41,Female,Smart TV,1 Month
Basic,12,891,22-06-23,Brazil,49,Male,Laptop,1 Month
Standard,15,1687,23-06-23,Mexico,28,Male,Laptop,1 Month
Standard,13,987,23-06-23,Spain,40,Male,Smartphone,1 Month
Basic,12,1166,23-06-23,Italy,43,Female,Smartphone,1 Month
Premium,12,1263,27-06-23,United States,42,Male,Smartphone,1 Month
Basic,14,1065,22-06-23,Canada,28,Male,Smart TV,1 Month
Standard,14,936,24-06-23,United Kingdom,30,Female,Tablet,1 Month
Premium,10,644,26-06-23,Australia,33,Male,Smart TV,1 Month
Basic,11,1676,26-06-23,Germany,35,Female,Laptop,1 Month
Basic,10,229,25-06-23,France,38,Male,Tablet,1 Month
Basic,12,1632,24-06-23,Brazil,49,Female,Laptop,1 Month
Standard,15,655,28-06-23,Mexico,39,Female,Smartphone,1 Month
Premium,13,843,27-06-23,Spain,46,Female,Smart TV,1 Month
Basic,10,758,23-06-23,Italy,47,Female,Laptop,1 Month
Basic,15,735,25-06-23,United States,30,Female,Laptop,1 Month
Premium,14,1122,27-06-23,Canada,33,Female,Tablet,1 Month
Standard,11,508,24-06-23,United Kingdom,47,Male,Smartphone,1 Month
Standard,11,414,27-06-23,Australia,27,Male,Laptop,1 Month
Basic,14,307,27-06-23,Germany,28,Male,Tablet,1 Month
Premium,15,864,25-06-23,France,47,Male,Smartphone,1 Month
Standard,14,480,24-06-23,Brazil,30,Male,Laptop,1 Month
Basic,13,2149,28-06-23,Mexico,47,Female,Smartphone,1 Month
Standard,10,583,26-06-23,Spain,51,Female,Smart TV,1 Month
Premium,15,1598,25-06-23,Italy,39,Male,Smartphone,1 Month
Basic,10,1584,24-06-23,United States,45,Male,Tablet,1 Month
Premium,15,1051,25-06-23,Canada,31,Male,Laptop,1 Month
Standard,11,231,26-06-23,United Kingdom,29,Male,Laptop,1 Month
Basic,11,201,26-06-23,Australia,42,Female,Tablet,1 Month
Standard,14,1991,25-06-23,Germany,49,Male,Tablet,1 Month
Premium,13,584,26-06-23,France,42,Male,Laptop,1 Month
Basic,13,344,24-06-23,Brazil,29,Male,Smartphone,1 Month
Standard,10,282,28-06-23,Mexico,29,Male,Tablet,1 Month
Premium,12,1317,26-06-23,Spain,49,Male,Tablet,1 Month
Basic,14,1290,25-06-23,Italy,32,Male,Laptop,1 Month
Premium,11,953,24-06-23,United States,35,Female,Tablet,1 Month
Basic,12,773,26-06-23,Canada,39,Female,Smartphone,1 Month
Standard,15,210,25-06-23,United Kingdom,40,Male,Smartphone,1 Month
Standard,14,761,25-06-23,Australia,39,Female,Tablet,1 Month
Basic,10,1700,26-06-23,Germany,47,Female,Laptop,1 Month
Premium,13,1372,25-06-23,France,37,Female,Smart TV,1 Month
Basic,15,1516,26-06-23,Brazil,27,Female,Smartphone,1 Month
Standard,13,196,26-06-23,Mexico,49,Female,Laptop,1 Month
Premium,10,976,26-06-23,Spain,30,Female,Tablet,1 Month
Basic,14,1478,25-06-23,Italy,36,Male,Laptop,1 Month
Premium,15,1394,27-06-23,United States,33,Male,Smartphone,1 Month
Basic,13,1179,25-06-23,Canada,30,Female,Laptop,1 Month
Standard,15,1172,26-06-23,United Kingdom,36,Female,Tablet,1 Month
Standard,13,713,25-06-23,Australia,28,Female,Laptop,1 Month
Basic,11,432,25-06-23,Germany,47,Female,Tablet,1 Month
Premium,12,1595,25-06-23,France,33,Female,Smart TV,1 Month
Basic,13,2071,24-06-23,Brazil,49,Female,Laptop,1 Month
Standard,15,2029,27-06-23,Mexico,44,Female,Smart TV,1 Month
Premium,13,1834,26-06-23,Spain,47,Male,Smart TV,1 Month
Basic,11,2021,26-06-23,Italy,37,Female,Tablet,1 Month
Premium,10,1911,25-06-23,United States,46,Male,Laptop,1 Month
Basic,14,1422,27-06-23,Canada,50,Female,Smartphone,1 Month
Standard,11,425,25-06-23,United Kingdom,50,Male,Laptop,1 Month
Standard,14,1938,27-06-23,Australia,37,Male,Laptop,1 Month
Basic,11,401,24-06-23,Germany,50,Female,Smartphone,1 Month
Premium,13,2005,24-06-23,France,45,Female,Smart TV,1 Month
Basic,14,376,23-06-23,Brazil,45,Male,Tablet,1 Month
Standard,10,1089,27-06-23,Mexico,49,Female,Laptop,1 Month
Premium,14,1645,25-06-23,Spain,39,Female,Tablet,1 Month
Basic,11,2072,25-06-23,Italy,45,Female,Tablet,1 Month
Premium,11,545,27-06-23,United States,49,Female,Smart TV,1 Month
Basic,12,1367,27-06-23,Canada,31,Female,Tablet,1 Month
Standard,13,772,24-06-23,United Kingdom,42,Female,Smart TV,1 Month
Standard,12,1950,24-06-23,Australia,37,Male,Smartphone,1 Month
Basic,12,1090,25-06-23,Germany,30,Male,Smart TV,1 Month
Premium,11,711,25-06-23,France,40,Male,Smartphone,1 Month
Basic,15,2057,24-06-23,Brazil,45,Female,Smartphone,1 Month
Standard,15,1204,23-06-23,Mexico,36,Female,Tablet,1 Month
Premium,11,78,24-06-23,Spain,41,Male,Laptop,1 Month
Basic,14,1759,26-06-23,Italy,49,Female,Laptop,1 Month
Premium,15,697,27-06-23,United States,40,Male,Tablet,1 Month
Basic,11,838,26-06-23,Canada,36,Male,Smart TV,1 Month
Standard,12,1340,24-06-23,United Kingdom,49,Female,Smart TV,1 Month
Standard,13,601,28-06-23,Australia,43,Female,Laptop,1 Month
Basic,13,2131,27-06-23,Germany,50,Female,Smartphone,1 Month
Premium,14,1992,24-06-23,France,51,Female,Smart TV,1 Month
Basic,15,1451,25-06-23,Brazil,44,Male,Smart TV,1 Month
Standard,12,209,28-06-23,Mexico,27,Male,Tablet,1 Month
Premium,12,440,25-06-23,Spain,46,Female,Smartphone,1 Month
Basic,12,589,27-06-23,Italy,29,Male,Tablet,1 Month
Basic,12,935,25-06-23,United States,47,Male,Smartphone,1 Month
Basic,10,1544,26-06-23,Canada,48,Female,Smartphone,1 Month
Standard,12,1020,25-06-23,United Kingdom,34,Female,Smartphone,1 Month
Premium,15,1828,29-06-23,Australia,40,Female,Smartphone,1 Month
Basic,14,933,27-06-23,Germany,48,Female,Smartphone,1 Month
Basic,10,823,26-06-23,France,35,Male,Smartphone,1 Month
Premium,12,1624,24-06-23,Brazil,51,Female,Smartphone,1 Month
Standard,10,1169,27-06-23,Mexico,39,Male,Smart TV,1 Month
Standard,13,2028,27-06-23,Spain,29,Male,Smartphone,1 Month
Basic,12,474,26-06-23,Italy,51,Male,Laptop,1 Month
Premium,11,1269,24-06-23,United States,43,Male,Smartphone,1 Month
Standard,11,1356,27-06-23,Canada,28,Male,Smartphone,1 Month
Basic,15,189,26-06-23,United Kingdom,50,Female,Smart TV,1 Month
Standard,14,1336,27-06-23,Australia,44,Female,Laptop,1 Month
Premium,11,94,25-06-23,Germany,50,Male,Laptop,1 Month
Basic,11,1233,26-06-23,France,39,Female,Smartphone,1 Month
Premium,13,785,25-06-23,Brazil,46,Female,Tablet,1 Month
Standard,15,399,28-06-23,Mexico,48,Male,Smartphone,1 Month
Basic,15,1052,26-06-23,Spain,38,Male,Smart TV,1 Month
Standard,13,254,26-06-23,Italy,38,Male,Smartphone,1 Month
Premium,13,1984,27-06-23,United States,47,Male,Laptop,1 Month
Basic,12,1678,26-06-23,Canada,37,Male,Laptop,1 Month
Standard,11,540,27-06-23,United Kingdom,33,Male,Laptop,1 Month
Premium,15,976,26-06-23,Australia,28,Male,Smartphone,1 Month
Basic,13,1806,26-06-23,Germany,47,Male,Smart TV,1 Month
Premium,11,1126,25-06-23,France,38,Female,Smartphone,1 Month
Basic,12,1683,27-06-23,Brazil,27,Male,Smart TV,1 Month
Standard,13,1131,26-06-23,Mexico,34,Male,Smartphone,1 Month
Standard,14,1336,27-06-23,Spain,42,Female,Smartphone,1 Month
Basic,14,1585,26-06-23,Italy,28,Male,Laptop,1 Month
Premium,15,1192,27-06-23,United States,30,Male,Laptop,1 Month
Basic,11,1814,26-06-23,Canada,38,Female,Smartphone,1 Month
Standard,15,1332,25-06-23,United Kingdom,45,Female,Tablet,1 Month
Premium,12,895,27-06-23,Australia,48,Female,Smart TV,1 Month
Basic,13,1617,26-06-23,Germany,46,Female,Smart TV,1 Month
Premium,12,906,26-06-23,France,34,Male,Tablet,1 Month
Basic,13,1727,25-06-23,Brazil,46,Male,Laptop,1 Month
Standard,11,602,28-06-23,Mexico,41,Female,Smartphone,1 Month
Standard,15,1859,26-06-23,Spain,28,Male,Smartphone,1 Month
Basic,10,1174,26-06-23,Italy,27,Female,Smartphone,1 Month
Premium,13,1730,25-06-23,United States,27,Female,Smart TV,1 Month
Basic,12,1045,26-06-23,Canada,28,Female,Tablet,1 Month
Standard,15,620,24-06-23,United Kingdom,46,Male,Smartphone,1 Month
Premium,10,1922,27-06-23,Australia,51,Male,Smartphone,1 Month
Basic,11,2122,25-06-23,Germany,32,Female,Smart TV,1 Month
Premium,10,546,26-06-23,France,44,Male,Tablet,1 Month
Basic,11,1608,27-06-23,Brazil,44,Female,Laptop,1 Month
Standard,13,2078,28-06-23,Mexico,34,Female,Smart TV,1 Month
Standard,13,552,25-06-23,Spain,29,Female,Laptop,1 Month
Basic,12,2000,25-06-23,Italy,47,Male,Smart TV,1 Month
Premium,14,1242,26-06-23,United States,41,Male,Laptop,1 Month
Basic,10,1422,26-06-23,Canada,36,Female,Smartphone,1 Month
Standard,12,1562,25-06-23,United Kingdom,28,Female,Laptop,1 Month
Premium,10,1820,24-06-23,Australia,27,Female,Tablet,1 Month
Basic,15,1007,25-06-23,Germany,34,Female,Laptop,1 Month
Premium,14,1052,25-06-23,France,34,Female,Smart TV,1 Month
Basic,13,947,26-06-23,Brazil,37,Female,Tablet,1 Month
Standard,14,1835,26-06-23,Mexico,34,Female,Laptop,1 Month
Standard,15,301,24-06-23,Spain,50,Female,Laptop,1 Month
Basic,12,2046,27-06-23,Italy,34,Female,Laptop,1 Month
Premium,12,658,28-06-23,United States,33,Female,Smart TV,1 Month
Basic,11,694,25-06-23,Canada,33,Male,Smart TV,1 Month
Standard,15,245,26-06-23,United Kingdom,46,Male,Smartphone,1 Month
Premium,14,886,28-06-23,Australia,39,Female,Smartphone,1 Month
Basic,10,150,27-06-23,Germany,42,Female,Laptop,1 Month
Premium,14,741,27-06-23,France,50,Female,Laptop,1 Month
Basic,10,1265,26-06-23,Brazil,43,Male,Smartphone,1 Month
Standard,14,793,28-06-23,Mexico,51,Male,Smart TV,1 Month
Standard,15,911,25-06-23,Spain,34,Female,Smart TV,1 Month
Basic,12,383,30-06-23,Italy,48,Male,Smartphone,1 Month
Premium,13,1352,27-06-23,United States,29,Female,Tablet,1 Month
Basic,11,574,27-06-23,Canada,43,Female,Laptop,1 Month
Standard,14,1790,25-06-23,United Kingdom,39,Female,Laptop,1 Month
Premium,10,1236,29-06-23,Australia,50,Male,Laptop,1 Month
Basic,14,1763,27-06-23,Germany,45,Male,Laptop,1 Month
Basic,12,1657,27-06-23,France,48,Female,Tablet,1 Month
Basic,13,1699,24-06-23,Brazil,40,Male,Smartphone,1 Month
Standard,14,1529,27-06-23,Mexico,41,Male,Tablet,1 Month
Premium,10,1079,27-06-23,Spain,27,Male,Smartphone,1 Month
Basic,11,905,28-06-23,Italy,36,Male,Laptop,1 Month
Basic,10,1872,24-06-23,United States,36,Female,Laptop,1 Month
Premium,11,895,27-06-23,Canada,44,Male,Tablet,1 Month
Standard,12,1398,26-06-23,United Kingdom,45,Male,Tablet,1 Month
Standard,12,753,29-06-23,Australia,33,Female,Smartphone,1 Month
Basic,13,784,26-06-23,Germany,47,Male,Smart TV,1 Month
Premium,13,602,27-06-23,France,45,Male,Tablet,1 Month
Standard,11,1373,28-06-23,Brazil,29,Female,Smart TV,1 Month
Basic,13,425,27-06-23,Mexico,31,Male,Smart TV,1 Month
Standard,11,1555,28-06-23,Spain,31,Male,Smartphone,1 Month
Premium,15,1160,26-06-23,Italy,49,Female,Smartphone,1 Month
Basic,15,1913,27-06-23,United States,29,Female,Smartphone,1 Month
Premium,12,545,26-06-23,Canada,50,Male,Laptop,1 Month
Standard,13,325,27-06-23,United Kingdom,36,Female,Laptop,1 Month
Basic,10,1263,26-06-23,Australia,28,Male,Laptop,1 Month
Standard,15,1903,27-06-23,Germany,47,Female,Smart TV,1 Month
Premium,12,537,25-06-23,France,50,Female,Laptop,1 Month
Basic,15,408,28-06-23,Brazil,44,Female,Tablet,1 Month
Standard,10,169,27-06-23,Mexico,39,Female,Laptop,1 Month
Premium,14,1559,26-06-23,Spain,32,Female,Smartphone,1 Month
Basic,15,1029,27-06-23,Italy,30,Female,Laptop,1 Month
Premium,12,737,27-06-23,United States,33,Female,Smartphone,1 Month
Basic,15,1269,27-06-23,Canada,44,Male,Smartphone,1 Month
Standard,14,1306,26-06-23,United Kingdom,40,Male,Smartphone,1 Month
Standard,15,1719,27-06-23,Australia,32,Male,Tablet,1 Month
Basic,13,1661,27-06-23,Germany,32,Male,Tablet,1 Month
Premium,11,1791,27-06-23,France,30,Male,Smartphone,1 Month
Basic,12,1922,26-06-23,Brazil,32,Female,Smartphone,1 Month
Standard,12,223,27-06-23,Mexico,45,Female,Tablet,1 Month
Premium,11,1268,25-06-23,Spain,35,Female,Smart TV,1 Month
Basic,10,1552,26-06-23,Italy,40,Female,Smart TV,1 Month
Premium,14,1751,26-06-23,United States,29,Female,Tablet,1 Month
Basic,14,344,26-06-23,Canada,31,Male,Tablet,1 Month
Standard,15,664,27-06-23,United Kingdom,43,Female,Smart TV,1 Month
Standard,11,1945,28-06-23,Australia,34,Male,Smart TV,1 Month
Basic,10,892,25-06-23,Germany,47,Female,Tablet,1 Month
Premium,12,1016,26-06-23,France,35,Male,Laptop,1 Month
Basic,13,1339,27-06-23,Brazil,36,Male,Laptop,1 Month
Standard,12,2073,27-06-23,Mexico,33,Male,Tablet,1 Month
Premium,13,1706,25-06-23,Spain,30,Female,Laptop,1 Month
Basic,14,1283,25-06-23,Italy,44,Female,Smartphone,1 Month
Premium,13,1941,26-06-23,United States,44,Female,Laptop,1 Month
Basic,11,2074,26-06-23,Canada,41,Female,Laptop,1 Month
Standard,13,1761,25-06-23,United Kingdom,46,Male,Smart TV,1 Month
Standard,13,1019,26-06-23,Australia,42,Female,Smartphone,1 Month
Basic,10,1895,25-06-23,Germany,48,Female,Smart TV,1 Month
Premium,15,1963,26-06-23,France,37,Male,Tablet,1 Month
Basic,14,833,28-06-23,Brazil,29,Male,Smartphone,1 Month
Standard,14,271,26-06-23,Mexico,30,Male,Smart TV,1 Month
Premium,14,622,26-06-23,Spain,28,Male,Smartphone,1 Month
Basic,10,114,28-06-23,Italy,44,Female,Smartphone,1 Month
Premium,11,1992,28-06-23,United States,34,Female,Smart TV,1 Month
Basic,10,526,26-06-23,Canada,38,Male,Laptop,1 Month
Standard,14,364,26-06-23,United Kingdom,34,Female,Smartphone,1 Month
Standard,10,124,28-06-23,Australia,40,Female,Laptop,1 Month
Basic,15,302,27-06-23,Germany,32,Female,Tablet,1 Month
Premium,11,1962,30-06-23,France,38,Male,Smart TV,1 Month
Basic,15,176,26-06-23,Brazil,39,Male,Smartphone,1 Month
Standard,12,155,28-06-23,Mexico,34,Female,Smart TV,1 Month
Premium,11,157,26-06-23,Spain,41,Male,Smartphone,1 Month
Basic,15,1036,30-06-23,Italy,43,Female,Tablet,1 Month
Premium,12,1848,28-06-23,United States,36,Female,Laptop,1 Month
Basic,11,1974,27-06-23,Canada,31,Male,Laptop,1 Month
Standard,12,460,25-06-23,United Kingdom,47,Female,Smart TV,1 Month
Standard,14,804,29-06-23,Australia,48,Male,Smart TV,1 Month
Basic,11,654,27-06-23,Germany,36,Male,Laptop,1 Month
Premium,12,400,29-06-23,France,41,Male,Smart TV,1 Month
Basic,13,937,25-06-23,Brazil,32,Male,Laptop,1 Month
Standard,13,612,28-06-23,Mexico,28,Male,Smartphone,1 Month
Premium,12,2038,27-06-23,Spain,46,Female,Smartphone,1 Month
Basic,11,612,29-06-23,Italy,46,Female,Smartphone,1 Month
Basic,11,72,25-06-23,United States,47,Male,Tablet,1 Month
Basic,11,1954,27-06-23,Canada,31,Female,Tablet,1 Month
Standard,10,1292,26-06-23,United Kingdom,44,Female,Tablet,1 Month
Premium,10,1820,28-06-23,Australia,39,Female,Laptop,1 Month
Basic,14,1490,28-06-23,Germany,44,Female,Laptop,1 Month
Basic,12,996,27-06-23,France,39,Female,Smartphone,1 Month
Premium,12,112,28-06-23,Brazil,37,Male,Laptop,1 Month
Standard,14,923,27-06-23,Mexico,47,Female,Laptop,1 Month
Standard,10,1328,28-06-23,Spain,46,Female,Smart TV,1 Month
Basic,15,409,27-06-23,Italy,27,Female,Smart TV,1 Month
Premium,10,1546,27-06-23,United States,43,Female,Laptop,1 Month
Standard,10,189,26-06-23,Canada,51,Male,Smart TV,1 Month
Basic,10,1647,27-06-23,United Kingdom,49,Male,Smart TV,1 Month
Standard,10,786,28-06-23,Australia,35,Female,Smartphone,1 Month
Premium,15,1708,27-06-23,Germany,44,Male,Smartphone,1 Month
Basic,14,292,26-06-23,France,48,Male,Tablet,1 Month
Premium,11,560,28-06-23,Brazil,39,Female,Tablet,1 Month
Standard,12,1052,28-06-23,Mexico,38,Male,Laptop,1 Month
Basic,14,807,26-06-23,Spain,45,Male,Smart TV,1 Month
Standard,13,1900,28-06-23,Italy,43,Female,Laptop,1 Month
Premium,13,841,27-06-23,United States,42,Male,Laptop,1 Month
Basic,15,452,28-06-23,Canada,28,Male,Smart TV,1 Month
Standard,10,113,26-06-23,United Kingdom,40,Male,Tablet,1 Month
Premium,14,440,27-06-23,Australia,41,Female,Tablet,1 Month
Basic,12,1601,26-06-23,Germany,45,Female,Laptop,1 Month
Premium,14,90,27-06-23,France,30,Female,Smartphone,1 Month
Basic,11,1704,26-06-23,Brazil,31,Female,Smartphone,1 Month
Standard,13,880,27-06-23,Mexico,51,Female,Tablet,1 Month
Standard,12,2118,25-06-23,Spain,44,Female,Smartphone,1 Month
Basic,14,1651,27-06-23,Italy,49,Male,Laptop,1 Month
Premium,12,329,26-06-23,United States,47,Female,Laptop,1 Month
Basic,14,546,26-06-23,Canada,42,Male,Smartphone,1 Month
Standard,13,1958,28-06-23,United Kingdom,28,Male,Smartphone,1 Month
Premium,13,1133,28-06-23,Australia,28,Male,Smartphone,1 Month
Basic,13,1451,26-06-23,Germany,49,Female,Tablet,1 Month
